localisation_de_la_scene;code_postal;longitude;latitude;id_localisation
1 rue raymond pitet;75017;2.29705799;48.88934843;181
1 rue rene panhard;75013;2.35932451;48.8387173;182
1 rue rene panhard ou 292 rue st martin;75013;2.359355;48.838779;183
1 rue robert esnault pelterie;75007;2.315236;48.862338;184
1 rue saint etienne du mont;75005;2.34878878;48.84659882;185
1 rue saint fiacre;75002;2.34508894;48.86958642;186
1 rue saint yves;75014;2.334291;48.825622;187
1 rue scheffer;75116;2.28513054;48.8600539;188
1 rue sivel;75014;2.32742233;48.83369885;189
1 rue tessier;75015;2.3064355;48.83975125;190
1 rue vincent compoint;75018;2.33818053;48.89463846;191
1 square bolivar;75019;2.38265104;48.87552227;192
1 square delambre;75014;2.32736824;48.84145988;193
1 square des ecrivains combattants morts pour la france;75016;2.26554633;48.8593116;194
1 square lagarde;75005;2.34780877;48.84063383;195
1 villa deshayes;75014;2.31565503;48.82795101;196
1 villa etex;75018;2.32861917;48.89057103;197
10 12 boulevard saint michel;75005;2.340926;48.847074;198
10 22 rue hegesippe moreau;75018;2.327652;48.887545;199
10 avenue d iena;75016;2.293222;48.863773;200
10 avenue d iena;75116;2.29321926;48.86378335;201
10 avenue de camoens;75116;2.28621895;48.8597589;202
10 avenue de la porte de champerret;75017;2.28712546;48.88651045;203
10 avenue du trone;75012;2.39815764;48.84779054;204
10 avenue pierre ier de serbie;75116;2.29657056;48.86597126;205
10 avenue rachel;75018;2.33098406;48.88488454;206
10 avenue trudaine;75009;2.34536117;48.88186131;207
10 boulevard delessert;75016;2.28504673;48.85883321;208
10 boulevard du palais;75001;2.345426;48.854983;209
10 boulevard emile augier;75016;2.273683;48.859017;210
10 passage des abbesses;75018;2.33836317;48.88534411;211
10 place de budapest;75009;2.3274052100000002;48.87751385;212
10 place de la bastille;75011;2.3703134;48.85370111;213
10 place de la republique;75011;2.36524853;48.86738609;214
10 place de mexico;75116;2.28305334;48.86565024;215
10 place du pantheon;75005;2.345859;48.846969;216
10 place du president mithouard;75007;2.31271086;48.85103083;217
10 place du trocadero et du onze novembre;75116;2.28617886;48.86328969;218
10 quai d austerlitz;75013;2.373063;48.83834873;219
10 quai de grenelle;75015;2.28781541;48.85400384;220
10 quai de la marne;75019;2.38068335;48.88859627;221
10 rue allet stevens;75016;2.266094;48.854901;222
10 rue andre antoine;75018;2.33772252;48.88324701;223
10 rue boulle;75011;2.372255;48.856822;224
10 rue cabanis;75014;2.34010988;48.83036254;225
10 rue cesar franck;75015;2.30927069;48.84728994;226
10 rue charles delescluze;75011;2.380229;48.852497;227
10 rue charles moureu;75013;2.36313128;48.82712789;228
10 rue charlot;75003;2.361005;48.861448;229
10 rue chateaubriand hotel atala;75008;2.302266;48.873405;230
10 rue d alsace;75010;2.358371;48.878292;231
10 rue d argenteuil;75001;2.3340157;48.86508333;232
10 rue d aumale;75009;2.33653824;48.87804517;233
10 rue de buci salon de coiffure ;75006;2.3374829999999998;48.853871;234
10 rue de l amiral hamelin;75116;2.29260857;48.86613921;235
10 rue de l evangile;75018;2.36179203;48.89193447;236
10 rue de l olive;75018;2.36134734;48.89093994;237
10 rue de la grange aux belles;75010;2.36477851;48.87354946;238
10 rue de la verrerie;75004;2.355111;48.85723;239
10 rue de marseille;75010;2.36365945;48.87152413;240
10 rue de saintonge;75003;2.362193;48.861457;241
10 rue des frigos;75013;2.38012818;48.83080552;242
10 rue des messageries;75010;2.349935;48.876351;243
10 rue desiree;75020;2.39204;48.864836;244
10 rue dieu;75010;2.364755;48.870349;245
10 rue du capitaine ferber;75020;2.4051603999999998;48.86514184;246
10 rue du debarcadere;75017;2.28673712;48.87801862;247
10 rue du docteur blanche;75016;2.26562272;48.85501891;248
10 rue du grand prieure;75011;2.36905715;48.86516692;249
10 rue du quatre septembre;75002;2.33838373;48.86933774;250
10 rue du sentier;75002;2.345782;48.868821;251
10 rue du volga;75020;2.40505594;48.8522149;252
10 rue duperre;75009;2.33620313;48.88213676;253
10 rue edmond valentin;75007;2.30173961;48.85977667;254
10 rue emile gilbert;75012;2.373224;48.846656;255
10 rue etex;75018;2.32851619;48.89053914;256
10 rue francoeur;75018;2.34229865;48.89018562;257
10 rue francois ponsard;75016;2.274622;48.859093;258
10 rue frederick lemaitre;75020;2.39181819;48.87381862;259
10 rue fromentin;75009;2.334763;48.882596;260
10 rue jean bologne;75016;2.28033045;48.85702937;261
10 rue la vacquerie;75011;2.3851671;48.85809612;262
10 rue leon frapie;75020;2.412414;48.873825;263
10 rue mallet stevens;75016;2.26610578;48.854897030000004;264
10 rue maurice grimaud;75018;2.3371776;48.90019394;265
10 rue montcalm;75018;2.33600332;48.892084080000004;266
10 rue montmartre;75001;2.3459140400000003;48.86360382;267
10 rue papillon;75009;2.3473898699999998;48.87620042;268
10 rue philippe de girard;75010;2.36198948;48.88134065;269
10 rue pixerecourt;75020;2.39545718;48.87067707;270
10 rue richer;75009;2.34700434;48.87408328;271
10 rue rollin;75005;2.35085358;48.84474885;272
10 rue saint bernard;75011;2.381639;48.851097;273
10 rue saint claude;75003;2.36624307;48.86016058;274
10 rue saint ferdinand;75017;2.29006664;48.8787856;275
10 rue saint louis en l ile;75004;2.35887625;48.85104781;276
10 rue saint marc;75002;2.3413323999999998;48.87040621;277
10 rue saint victor;75005;2.35135541;48.84814508;278
10 rue soleillet;75020;2.3917430299999998;48.86566781;279
10 rue talma;75016;2.27594751;48.85698794;280
10 rue tholoze;75018;2.33534821;48.88614968;281
10 rue vergniaud;75013;2.34564537;48.82951635;282
10 rue volney;75002;2.3300279;48.86938476;283
10 square de clignancourt;75018;2.34697;48.893009;284
10 square de l alboni;75016;2.2867509999999998;48.85826;285
10 villa gagliardini;75020;2.40376759;48.87551458;286
10 villa riberolle;75020;2.3969318;48.85775598;287
100 avenue de la republique;75011;2.38276177;48.86355705;288
100 avenue de saint mande;75012;2.40801454;48.84427167;289
100 boulevard beaumarchais;75011;2.36764213;48.86045395;290
100 boulevard de la chapelle;75018;2.35262465;48.88416347;291
100 boulevard diderot;75012;2.385157;48.847125;292
100 rue chardon lagache;75016;2.26267621;48.83982682;293
100 rue de la tombe issoire;75014;2.33170604;48.82631949;294
100 rue des dames;75017;2.31716791;48.88278806;295
100 rue du cherche midi;75006;2.32195581;48.84721623;296
100 rue mouffetard;75005;2.34955506;48.84129975;297
