date_de_debut;date_de_fin;fk_oeuvre;fk_realisateur_ice;id_periode
2016-04-08;2016-04-08;99;383;363
2016-04-08;2016-04-08;189;554;364
2016-04-08;2016-04-08;498;258;365
2016-04-08;2016-04-08;515;248;366
2016-04-09;2016-04-09;526;525;367
2016-04-09;2016-04-10;718;66;368
2016-04-11;2016-04-11;41;212;369
2016-04-11;2016-04-11;66;80;370
2016-04-11;2016-04-11;304;726;371
2016-04-11;2016-04-11;418;469;372
2016-04-11;2016-04-11;498;258;373
2016-04-11;2016-04-11;526;525;374
2016-04-11;2016-04-11;542;734;375
2016-04-11;2016-04-11;557;718;376
2016-04-11;2016-04-11;594;407;377
2016-04-11;2016-04-11;714;159;378
2016-04-12;2016-04-12;66;80;379
2016-04-12;2016-04-12;189;554;380
2016-04-12;2016-04-12;289;68;381
2016-04-12;2016-04-12;418;469;382
2016-04-12;2016-04-12;498;258;383
2016-04-12;2016-04-12;526;525;384
2016-04-12;2016-04-12;557;718;385
2016-04-12;2016-04-12;594;407;386
2016-04-12;2016-04-12;714;159;387
2016-04-13;2016-04-13;66;80;388
2016-04-13;2016-04-13;189;554;389
2016-04-13;2016-04-13;418;469;390
2016-04-13;2016-04-13;498;258;391
2016-04-13;2016-04-13;526;525;392
2016-04-13;2016-04-13;557;718;393
2016-04-13;2016-04-13;594;407;394
2016-04-13;2016-04-13;714;159;395
2016-04-13;2016-04-14;498;258;396
2016-04-13;2016-04-14;667;725;397
2016-04-14;2016-04-14;127;60;398
2016-04-14;2016-04-14;189;554;399
2016-04-14;2016-04-14;594;407;400
2016-04-14;2016-04-14;667;725;401
2016-04-14;2016-04-15;526;525;402
2016-04-14;2016-04-15;557;718;403
2016-04-15;2016-04-15;66;80;404
2016-04-15;2016-04-15;189;554;405
2016-04-15;2016-04-15;498;258;406
2016-04-15;2016-04-15;594;407;407
2016-04-15;2016-04-15;667;725;408
2016-04-16;2016-04-16;189;554;409
2016-04-16;2016-04-16;640;111;410
2016-04-18;2016-04-18;99;383;411
2016-04-18;2016-04-18;205;222;412
2016-04-18;2016-04-18;304;726;413
2016-04-18;2016-04-18;526;525;414
2016-04-18;2016-04-18;594;407;415
2016-04-18;2016-04-19;258;219;416
2016-04-18;2016-04-19;408;100;417
2016-04-18;2016-04-19;557;718;418
2016-04-18;2016-04-23;189;554;419
2016-04-18;2016-04-27;127;60;420
2016-04-19;2016-04-19;189;554;421
2016-04-19;2016-04-19;205;222;422
2016-04-19;2016-04-19;258;219;423
2016-04-19;2016-04-19;526;525;424
2016-04-19;2016-04-19;557;718;425
2016-04-19;2016-04-19;594;407;426
2016-04-19;2016-04-19;683;157;427
2016-04-19;2016-04-20;99;383;428
2016-04-20;2016-04-20;381;400;429
2016-04-20;2016-04-20;557;718;430
2016-04-20;2016-04-20;594;407;431
2016-04-20;2016-04-21;189;554;432
2016-04-20;2016-04-21;258;219;433
2016-04-20;2016-04-21;408;100;434
2016-04-20;2016-04-21;680;329;435
2016-04-21;2016-04-21;557;718;436
2016-04-21;2016-04-21;594;407;437
2016-04-21;2016-04-22;526;525;438
2016-04-21;2016-04-23;189;554;439
2016-04-22;2016-04-22;82;3;440
2016-04-22;2016-04-22;128;670;441
2016-04-22;2016-04-22;189;554;442
2016-04-22;2016-04-22;205;222;443
2016-04-22;2016-04-22;408;100;444
2016-04-22;2016-04-22;557;718;445
2016-04-22;2016-04-22;594;407;446
2016-04-22;2016-04-23;64;10;447
2016-04-23;2016-04-23;189;554;448
2016-04-25;2016-04-25;82;3;449
2016-04-25;2016-04-25;127;60;450
2016-04-25;2016-04-25;189;554;451
2016-04-25;2016-04-25;205;222;452
2016-04-25;2016-04-25;381;400;453
2016-04-25;2016-04-25;408;100;454
2016-04-25;2016-04-25;594;407;455
2016-04-25;2016-04-26;557;718;456
2016-04-25;2016-04-27;526;525;457
2016-04-25;2016-04-27;594;407;458
2016-04-26;2016-04-26;35;594;459
2016-04-26;2016-04-26;82;3;460
2016-04-26;2016-04-26;127;60;461
2016-04-26;2016-04-27;189;554;462
2016-04-26;2016-04-29;594;407;463
2016-04-27;2016-04-27;82;3;464
2016-04-27;2016-04-27;189;554;465
2016-04-27;2016-04-27;205;222;466
2016-04-27;2016-04-27;408;100;467
2016-04-27;2016-04-27;557;718;468
2016-04-28;2016-04-28;82;3;469
2016-04-28;2016-04-28;205;222;470
2016-04-28;2016-04-28;408;100;471
2016-04-28;2016-04-28;526;525;472
2016-04-28;2016-04-28;547;333;473
2016-04-28;2016-04-28;557;718;474
2016-04-28;2016-04-28;594;407;475
2016-04-28;2016-04-29;35;594;476
2016-04-28;2016-04-29;547;333;477
2016-04-29;2016-04-29;82;3;478
2016-04-29;2016-04-29;408;100;479
2016-04-29;2016-04-29;547;333;480
2016-04-29;2016-04-29;557;718;481
2016-04-30;2016-04-30;82;3;482
2016-05-02;2016-05-02;82;3;483
2016-05-02;2016-05-02;128;670;484
2016-05-02;2016-05-02;189;554;485
2016-05-02;2016-05-02;258;219;486
2016-05-02;2016-05-02;594;407;487
2016-05-02;2016-05-02;653;495;488
2016-05-02;2016-05-02;803;644;489
2016-05-02;2016-05-03;408;100;490
2016-05-02;2016-05-03;853;659;491
2016-05-02;2016-05-04;127;60;492
2016-05-02;2016-05-05;128;670;493
2016-05-03;2016-05-03;82;3;494
2016-05-03;2016-05-03;258;219;495
2016-05-03;2016-05-03;557;718;496
2016-05-03;2016-05-03;594;407;497
2016-05-03;2016-05-03;653;495;498
2016-05-04;2016-05-04;35;594;499
2016-05-04;2016-05-04;189;554;500
2016-05-04;2016-05-04;258;219;501
2016-05-04;2016-05-04;418;469;502
2016-05-04;2016-05-04;653;495;503
2016-05-04;2016-05-05;557;718;504
2016-05-05;2016-05-05;1;668;505
2016-05-05;2016-05-05;82;3;506
2016-05-05;2016-05-06;229;268;507
2016-05-06;2016-05-06;1;668;508
