id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2016-2738;HALL HARTLEY;685;977;2016-08-04;2016-08-04
2019-676;LEO ZHANG;768;368;2019-06-18;2019-06-18
2020-236;JEROME CORNUAU;65;3368;2020-06-25;2020-06-25
2016-522;VALERIE LEMERCIER;557;3630;2016-04-28;2016-04-28
2016-2739;MICHEL REILHAC;305;4356;2016-08-11;2016-08-11
2019-1012;Guillaume Brac;20;1361;2019-08-06;2019-08-06
2020-257;Louis Garrel;386;3327;2020-06-29;2020-06-29
2016-534;FABIEN GORGEART;202;2044;2016-08-19;2016-08-19
2020-1154;Franck Gastambide / David Diane;837;43;2020-12-14;2020-12-14
2019-1035;Julien Despaux;634;5179;2019-08-09;2019-08-13
2016-31;NAIDRA AYADI;467;2168;2016-11-18;2016-11-18
2016-541;NAIDRA AYADI;467;5319;2016-11-21;2016-11-21
2020-1162;Nadège LOISEAU;8;2350;2020-12-17;2020-12-18
2019-1281;Suzanne Lindon;709;3014;2019-09-26;2019-09-26
2016-32;DOMINIQUE ROCHER;409;3178;2016-12-05;2016-12-05
2016-552;DAVID MICHOD;856;4460;2016-01-31;2016-01-31
2020-1176;Slimane-Baptiste BERHOUN;11;2855;2020-12-29;2020-12-29
2019-1282;VLADIMIR DE FONTENAY/MARIE MONGE;838;1769;2019-10-05;2019-10-05
2016-77;ERIC GUIRADO;825;2441;2016-09-08;2016-09-08
2016-568;LIU CHUN-CHIEN;521;3720;2016-12-14;2016-12-14
2016-1238;FRED GARSON;498;4441;2016-04-04;2016-04-04
2018-1340;Katia LEWKOWICZ;260;4040;2018-11-08;2018-11-08
2016-1620;MAURICE BARTHELEMY;489;4800;2016-08-24;2016-08-25
2016-576;NATH DUMONT;97;4036;2016-08-22;2016-08-22
2016-2782;EMMANUEL FINKIEL;388;447;2016-09-29;2016-09-29
2019-1242;David Hugonot Petit;586;2507;2019-09-24;2019-09-24
2016-1621;EMMANUEL FINKIEL;388;4032;2016-09-02;2016-09-02
2016-2134;LIU CHUN-CHIEN;521;4179;2016-12-14;2016-12-14
2020-21;Antoine GARCEAU - Marc FITOUSSI;204;1773;2020-01-17;2020-01-17
2019-1265;Leila Bouzid;827;4132;2019-10-15;2019-10-16
2016-1632;VALERIE LEMERCIER;557;2104;2016-04-20;2016-04-20
2016-2138;ARNAUD MALHERBE;127;4469;2016-04-25;2016-04-25
2020-35;Louis LETERRIER;54;4208;2020-01-17;2020-01-19
2018-1246;Maïmouna Doucouré;574;1005;2018-10-17;2018-10-18
2016-1655;LUDOVIC BERNARD;359;4671;2016-02-25;2016-02-25
2016-2164;GUILLAUME CANET;273;3033;2016-02-16;2016-02-16
2020-53;Arnaud Selignac,;320;1395;2020-02-07;2020-02-07
2018-1253;PIERRE TRIVIDIC ET PATRICK MARIO BERNARD;348;952;2018-10-22;2018-10-22
2020-347;FREDERIC BERTHE;59;4979;2020-08-03;2020-08-03
2016-2172;ANDRE TECHINE;605;4006;2016-09-14;2016-09-14
2016-1319;GABRIEL LAFERRIERE;588;5193;2016-05-13;2016-05-13
2019-7;Jeanne Herry;257;3895;2019-01-03;2019-01-03
2020-348;FREDERIC BERTHE;59;480;2020-08-03;2020-08-03
2016-2178;CHAD CHENOUGA;408;1602;2016-04-29;2016-04-29
2016-1330;CEDRIC IDO;426;4204;2016-08-05;2016-08-05
2019-13;Samuel BODIN;556;235;2019-01-08;2019-01-08
2020-349;Francois OZON;787;3476;2020-08-10;2020-08-11
2020-682;Hugo GÉLIN;54;4385;2020-10-22;2020-10-23
2016-1363;CHANG KEUN CHUN;770;3738;2016-10-23;2016-10-23
2019-927;PIERRE PINAUD;395;4485;2019-09-02;2019-09-03
2019-264;Guillaume Crémonese;303;1807;2019-03-11;2019-03-11
