date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-03-02;2016-03-02;585;nicolas bedos;183
2016-03-02;2016-03-03;166;nicolas silhol;184
2016-03-02;2016-03-03;347;yuki saito;185
2016-03-03;2016-03-03;205;etienne comar;186
2016-03-03;2016-03-03;273;guillaume canet;187
2016-03-03;2016-03-03;308;jalil lespert;188
2016-03-03;2016-03-03;347;yuki saito;189
2016-03-04;2016-03-04;36;thibaud martin;190
2016-03-04;2016-03-04;166;nicolas silhol;191
2016-03-04;2016-03-04;175;lisa azuelos;192
2016-03-04;2016-03-04;205;etienne comar;193
2016-03-04;2016-03-04;273;guillaume canet;194
2016-03-04;2016-03-04;308;jalil lespert;195
2016-03-04;2016-03-04;328;leonor serraille;196
2016-03-04;2016-03-04;347;yuki saito;197
2016-03-04;2016-03-04;408;chad chenouga;198
2016-03-04;2016-03-04;585;nicolas bedos;199
2016-03-05;2016-03-05;36;thibaud martin;200
2016-03-05;2016-03-05;189;novemie lvovsky;201
2016-03-05;2016-03-05;347;yuki saito;202
2016-03-06;2016-03-06;804;hector cabello reyes;203
2016-03-07;2016-03-07;110;l colbeau justin;204
2016-03-07;2016-03-07;166;nicolas silhol;205
2016-03-07;2016-03-07;347;yuki saito;206
2016-03-07;2016-03-07;584;frederic forestier;207
2016-03-07;2016-03-07;623;yishu yang;208
2016-03-07;2016-03-08;273;guillaume canet;209
2016-03-08;2016-03-08;110;l colbeau justin;210
2016-03-08;2016-03-08;166;nicolas silhol;211
2016-03-08;2016-03-08;175;lisa azuelos;212
2016-03-08;2016-03-08;273;guillaume canet;213
2016-03-08;2016-03-08;308;jalil lespert;214
2016-03-08;2016-03-08;584;frederic forestier;215
2016-03-08;2016-03-08;585;nicolas bedos;216
2016-03-08;2016-03-08;623;yishu yang;217
2016-03-08;2016-03-09;718;audrey dana;218
2016-03-09;2016-03-09;110;l colbeau justin;219
2016-03-09;2016-03-09;166;nicolas silhol;220
2016-03-09;2016-03-09;175;lisa azuelos;221
2016-03-09;2016-03-09;273;guillaume canet;222
2016-03-09;2016-03-09;584;frederic forestier;223
2016-03-09;2016-03-10;468;sebastien cirade;224
2016-03-09;2016-03-10;623;yishu yang;225
2016-03-10;2016-03-10;110;l colbeau justin;226
2016-03-10;2016-03-10;273;guillaume canet;227
2016-03-10;2016-03-10;308;jalil lespert;228
2016-03-10;2016-03-10;468;sebastien cirade;229
2016-03-10;2016-03-10;718;audrey dana;230
2016-03-10;2016-03-11;273;guillaume canet;231
2016-03-11;2016-03-11;110;l colbeau justin;232
2016-03-11;2016-03-11;558;paul lapierre;233
2016-03-11;2016-03-11;623;yishu yang;234
2016-03-11;2016-03-11;667;chris briant;235
2016-03-11;2016-03-12;233;gilles bourdos;236
2016-03-12;2016-03-12;64;albert dupontel;237
2016-03-12;2016-03-12;166;nicolas silhol;238
2016-03-12;2016-03-12;233;gilles bourdos;239
2016-03-12;2016-03-12;623;yishu yang;240
2016-03-13;2016-03-13;623;yishu yang;241
2016-03-14;2016-03-14;110;l colbeau justin;242
2016-03-14;2016-03-14;189;novemie lvovsky;243
2016-03-14;2016-03-14;273;guillaume canet;244
2016-03-14;2016-03-14;468;sebastien cirade;245
2016-03-14;2016-03-14;584;frederic forestier;246
2016-03-14;2016-03-14;623;yishu yang;247
2016-03-15;2016-03-15;110;l colbeau justin;248
2016-03-15;2016-03-15;166;nicolas silhol;249
2016-03-15;2016-03-15;273;guillaume canet;250
2016-03-15;2016-03-15;340;jan hryniak;251
2016-03-15;2016-03-15;584;frederic forestier;252
2016-03-15;2016-03-16;127;arnaud malherbe;253
2016-03-15;2016-03-18;64;albert dupontel;254
2016-03-16;2016-03-16;127;arnaud malherbe;255
2016-03-16;2016-03-16;166;nicolas silhol;256
2016-03-16;2016-03-16;175;lisa azuelos;257
2016-03-16;2016-03-16;189;novemie lvovsky;258
2016-03-16;2016-03-16;273;guillaume canet;259
2016-03-16;2016-03-16;340;jan hryniak;260
2016-03-16;2016-03-16;584;frederic forestier;261
2016-03-16;2016-03-16;714;david moreau;262
2016-03-16;2016-03-17;110;l colbeau justin;263
2016-03-17;2016-03-17;127;arnaud malherbe;264
2016-03-17;2016-03-17;175;lisa azuelos;265
2016-03-17;2016-03-17;189;novemie lvovsky;266
2016-03-17;2016-03-17;273;guillaume canet;267
2016-03-17;2016-03-17;468;sebastien cirade;268
2016-03-17;2016-03-17;584;frederic forestier;269
2016-03-17;2016-03-18;584;frederic forestier;270
2016-03-18;2016-03-18;64;albert dupontel;271
2016-03-18;2016-03-18;110;l colbeau justin;272
2016-03-18;2016-03-18;127;arnaud malherbe;273
2016-03-18;2016-03-18;175;lisa azuelos;274
2016-03-18;2016-03-18;189;novemie lvovsky;275
2016-03-18;2016-03-18;718;audrey dana;276
2016-03-19;2016-03-19;64;albert dupontel;277
2016-03-21;2016-03-21;127;arnaud malherbe;278
2016-03-21;2016-03-21;175;lisa azuelos;279
2016-03-21;2016-03-21;189;novemie lvovsky;280
2016-03-21;2016-03-21;498;fred garson;281
2016-03-22;2016-03-22;127;arnaud malherbe;282
2016-03-22;2016-03-22;189;novemie lvovsky;283
2016-03-22;2016-03-22;584;frederic forestier;284
2016-03-22;2016-03-24;498;fred garson;285
2016-03-22;2016-03-24;584;frederic forestier;286
2016-03-22;2016-03-25;64;albert dupontel;287
2016-03-23;2016-03-23;64;albert dupontel;288
2016-03-23;2016-03-24;189;novemie lvovsky;289
2016-03-23;2016-03-25;127;arnaud malherbe;290
2016-03-24;2016-03-24;41;eric le roux;291
2016-03-24;2016-03-24;498;fred garson;292
2016-03-25;2016-03-25;66;blandine lenoir;293
2016-03-25;2016-03-25;189;novemie lvovsky;294
2016-03-25;2016-03-26;41;eric le roux;295
2016-03-28;2016-03-28;41;eric le roux;296
